[02.16 16:12:32] AUDIT, Player 가츠 has invalid skill 거짓의 눈물 (6139/1), class:미스틱 뮤즈, Player:가츠[268469059], BROADCAST
[02.16 16:12:32] AUDIT, Player 가츠 has invalid skill 치즈케이크 허브 (22031/1), class:미스틱 뮤즈, Player:가츠[268469059], BROADCAST
[02.16 22:23:50] AUDIT, Player 가츠 has invalid skill 베스페르 변신 (14980/1), class:미스틱 뮤즈, Player:가츠[268469059], BROADCAST
[02.19 11:32:59] AUDIT, Player 가츠 has invalid skill 푸스 더 캣의 축복 (18794/1), class:미스틱 뮤즈, Player:가츠[268469059], BROADCAST
[02.19 11:41:42] AUDIT, Player 가츠 has invalid skill 꽃 비가 내리는 아름다운 밤 (30273/1), class:미스틱 뮤즈, Player:가츠[268469059], BROADCAST
[02.19 11:47:58] AUDIT, Player 가츠 has invalid skill 푸스 더 캣의 축복 (18794/1), class:미스틱 뮤즈, Player:가츠[268469059], BROADCAST
[02.19 12:20:51] AUDIT, Player 가츠 has invalid skill 꽃 비가 내리는 아름다운 밤 (30274/1), class:미스틱 뮤즈, Player:가츠[268469059], BROADCAST
[02.19 12:43:07] AUDIT, Player 가츠 has invalid skill 꽃 비가 내리는 아름다운 밤 (30273/1), class:미스틱 뮤즈, Player:가츠[268469059], BROADCAST
[02.19 12:59:29] AUDIT, Player 가츠 has invalid skill 꽃 비가 내리는 아름다운 밤 (30273/1), class:미스틱 뮤즈, Player:가츠[268469059], BROADCAST
[02.19 13:50:04] AUDIT, Player 가츠 has invalid skill 꽃 비가 내리는 아름다운 밤 (30273/1), class:미스틱 뮤즈, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 컨퓨전 (2/19), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 헤이트 오라 (18/45), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 서먼 뱀피릭 큐빅 (22/13), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 헤이트 (28/57), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 서먼 폴터가이스트 큐빅 (33/13), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 드레인 에너지 (70/56), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 콥스 플레이그 (103/5), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 프리징 스트라이크 (105/26), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 얼터미트 디펜스 (110/2), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 디플렉트 애로우 (112/4), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 파워 브레이크 (115/19), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 헥스 (122/17), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 포이즌 (129/5), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 큐빅 마스터리 (143/2), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 매직 레지스턴스 (147/59), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 실드 마스터리 (153/4), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 포커스 마인드 (191/6), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 소드/블런트 마스터리 (217/53), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 스팅 (223/52), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 헤비 아머 마스터리 (232/60), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 서먼 바이퍼 큐빅 (278/12), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 라이트닝 스트라이크 (279/9), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 라이프 리치 (289/17), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 파이널 포트리스 (291/20), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 섀도우 센스 (294/1), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 이지스 (316/1), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 실드 포트리스 (322/6), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 포티튜드 (335/1), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 터치 오브 데스 (342/1), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 벤젼스 (368/1), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 저지먼트 (401/20), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 나이트후드 (429/7), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 실드 오브 페이스 (528/1), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 파이터스 윌 (758/1), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 아처스 윌 (759/1), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 페인 오브 실렌 (788/1), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 스피릿 오브 실렌 (789/1), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 뱅가드 (813/1), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 디플렉트 매직 (913/1), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 실드 리플렉트 매직 (916/4), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 인크리스 오브 디비니티 (1405/4), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 라이딩 세이버투스 쿠거 (1835/1), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 체인 스트라이크 (10015/3), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 매스 라이트닝 스트라이크 (10094/5), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 매스 체인 스트라이크 (53003/3), class:실버 레인져, Player:가츠[268469059], BROADCAST
[03.30 00:26:44] AUDIT, Player 가츠 has invalid skill 리듀스 크라이시스 (53004/5), class:실버 레인져, Player:가츠[268469059], BROADCAST
[04.04 11:41:37] AUDIT, Player 테스트 has invalid skill 사망 후유증 (5076/1), class:엘븐 파이터, Player:테스트[268467485], BROADCAST
[04.04 18:32:57] AUDIT, Player 테스트 has invalid skill 사망 후유증 (5076/1), class:엘븐 파이터, Player:테스트[268467485], BROADCAST
[04.04 18:41:47] AUDIT, Player 테스트 has invalid skill 사망 후유증 (5076/1), class:엘븐 파이터, Player:테스트[268467485], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 매지션즈 무브먼트 (118/1), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 안티 매직 (146/46), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 스펠 크래프트 (163/1), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 퀵 리커버리 (164/3), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 패스트 HP 리커버리 (212/6), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 부스트 마나 (213/8), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 마나 리커버리 (214/1), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 패스트 스펠 캐스팅 (228/3), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 패스트 마나 리커버리 (229/7), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 로브 마스터리 (234/42), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 아머 마스터리 (244/3), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 웨폰 마스터리 (249/43), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 하이어 마나 게인 (285/28), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 힐 (1011/6), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 큐어 포이즌 (1012/1), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 배틀 힐 (1015/3), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 그룹 힐 (1027/3), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 실드 (1040/1), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 마나 리제네레이션 (1047/4), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 사일런스 (1064/15), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 마이트 (1068/1), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 슬리프 (1069/43), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 콘센트레이션 (1078/2), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 서먼 캣 더 캣 (1111/4), class:윈드 라이더, Player:가츠[268469059], BROADCAST
[04.05 07:40:15] AUDIT, Player 가츠 has invalid skill 서비터 리차지 (1126/6), class:윈드 라이더, Player:가츠[268469059], BROADCAST
