[06.30 22:34:22] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +5 축복받은 헬리오스 버스터(1) [268737746], 파멸의 무기 강화 주문서-R그레이드(122) [268468150]
[06.30 22:34:54] Safe Fail, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +11 아포칼립스 듀얼대거(1) [268672414], 파멸의 무기 강화 주문서-R그레이드(121) [268468150]
[06.30 22:35:07] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +12 아포칼립스 듀얼대거(1) [268672414], 파멸의 무기 강화 주문서-R그레이드(120) [268468150]
[06.30 22:35:20] Safe Fail, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +12 아포칼립스 듀얼대거(1) [268672414], 파멸의 무기 강화 주문서-R그레이드(119) [268468150]
[06.30 22:35:28] Safe Fail, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +12 아포칼립스 듀얼대거(1) [268672414], 파멸의 무기 강화 주문서-R그레이드(118) [268468150]
[06.30 22:35:36] Safe Fail, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +12 아포칼립스 듀얼대거(1) [268672414], 파멸의 무기 강화 주문서-R그레이드(117) [268468150]
[06.30 22:35:44] Safe Fail, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +12 아포칼립스 듀얼대거(1) [268672414], 파멸의 무기 강화 주문서-R그레이드(116) [268468150]
[06.30 22:35:52] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +13 아포칼립스 듀얼대거(1) [268672414], 파멸의 무기 강화 주문서-R그레이드(115) [268468150]
[07.01 00:29:12] Safe Fail, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +13 아포칼립스 듀얼대거(1) [268672414], 파멸의 무기 강화 주문서-R그레이드(114) [268468150]
[07.01 00:29:18] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +14 아포칼립스 듀얼대거(1) [268672414], 파멸의 무기 강화 주문서-R그레이드(113) [268468150]
[07.01 00:29:29] Safe Fail, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +14 아포칼립스 듀얼대거(1) [268672414], 파멸의 무기 강화 주문서-R그레이드(112) [268468150]
[07.01 00:29:35] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +15 아포칼립스 듀얼대거(1) [268672414], 파멸의 무기 강화 주문서-R그레이드(111) [268468150]
[07.01 11:06:18] Safe Fail, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +9 아포칼립스 셰이퍼(1) [268467671], 파멸의 무기 강화 주문서-R그레이드(110) [268468150]
[07.01 11:06:28] Safe Fail, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +9 아포칼립스 셰이퍼(1) [268467671], 파멸의 무기 강화 주문서-R그레이드(109) [268468150]
[07.01 11:06:38] Safe Fail, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +9 아포칼립스 셰이퍼(1) [268467671], 파멸의 무기 강화 주문서-R그레이드(108) [268468150]
[07.01 11:06:47] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +10 아포칼립스 셰이퍼(1) [268467671], 파멸의 무기 강화 주문서-R그레이드(107) [268468150]
[07.01 11:07:00] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +11 아포칼립스 셰이퍼(1) [268467671], 파멸의 무기 강화 주문서-R그레이드(106) [268468150]
[07.01 11:07:13] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +12 아포칼립스 셰이퍼(1) [268467671], 파멸의 무기 강화 주문서-R그레이드(105) [268468150]
[07.01 11:07:23] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +13 아포칼립스 셰이퍼(1) [268467671], 파멸의 무기 강화 주문서-R그레이드(104) [268468150]
[07.01 11:07:41] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +1 축복받은 아포칼립스 셰이퍼(1) [268467746], 파멸의 무기 강화 주문서-R그레이드(103) [268468150]
[07.01 11:07:44] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +2 축복받은 아포칼립스 셰이퍼(1) [268467746], 파멸의 무기 강화 주문서-R그레이드(102) [268468150]
[07.01 11:07:46] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +3 축복받은 아포칼립스 셰이퍼(1) [268467746], 파멸의 무기 강화 주문서-R그레이드(101) [268468150]
[07.01 11:07:49] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +4 축복받은 아포칼립스 셰이퍼(1) [268467746], 파멸의 무기 강화 주문서-R그레이드(100) [268468150]
[07.01 11:07:52] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +5 축복받은 아포칼립스 셰이퍼(1) [268467746], 파멸의 무기 강화 주문서-R그레이드(99) [268468150]
[07.01 11:07:54] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +6 축복받은 아포칼립스 셰이퍼(1) [268467746], 파멸의 무기 강화 주문서-R그레이드(98) [268468150]
[07.01 11:07:57] Safe Fail, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +6 축복받은 아포칼립스 셰이퍼(1) [268467746], 파멸의 무기 강화 주문서-R그레이드(97) [268468150]
